wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
als beispiel sei darauf verwies , dass auf der grundlag des beschluss des scheng exekutivausschuss vom 18. dezemb 1998 bezug des koordiniert einsatz von dokumentenberat in zusammenarbeit mit den verschied afrikan land massnahm zur bekampf der illegal einwander auf dem luft- und seeweg durchgefuhrt werd .	by way of exampl , base on a decis of the schengen execut committe of 18 decemb 1998 on the coordin use of consult in respect of document , measur are be introduc which are intend to combat illeg migrat by air and sea in cooper with variou african countri .	23-0 24-1 23-2 1-3 5-4 9-5 9-6 10-7 11-8 12-9 12-10 13-11 14-12 14-13 15-14 16-15 17-16 18-17 20-18 20-19 21-20 22-21 23-22 24-23 25-24 24-25 23-26 24-27 23-28 32-29 44-30 44-31 24-32 23-33 23-34 24-35 33-36 34-37 36-38 24-39 23-40 40-41 41-42 42-43 25-44 26-45 27-46 29-47 30-48 31-49 45-50	-192.534360656
neb dem scheng besitzstand werd auch praktisch massnahm dies art im nam der europa union getroff , die insgesamt auf dem bereit besteh besitzstand der europa union , vor all dem gemeinsam standpunkt vom 25. oktob 1996 , basi , aus dem sich die aufgab zur unterstutz und information im grenzvorbereich ableit .	in addit to the schengen acqui , practic measur of the same type are also be taken on behalf of the european union . these are gener base on the commun acqui and particularli on the common posit of 25 octob 1996 which establish the assist and inform mission carri out away from the border .	0-0 0-1 1-2 1-3 2-4 3-5 4-6 6-7 7-8 8-9 49-10 50-11 9-12 4-13 5-14 4-15 15-16 11-17 11-18 12-19 12-20 13-21 14-22 52-23 8-24 4-25 50-26 38-27 45-28 49-29 50-30 23-31 27-32 28-33 28-34 30-35 31-36 32-37 33-38 34-39 35-40 36-41 37-42 50-43 45-44 46-45 47-46 48-47 50-48 50-49 51-50 50-51 40-52 41-53 50-54 52-55	-227.285688704
zu den diesbezug erfordernis gehor die bekampf der armut , die verbesser der lebensbeding und der beschaftigungsmog , die verhut von konflikt und die festig demokrat staat .	to achiev thi object , poverti must be combat and live condit and employ opportun must be improv , conflict must be prevent and democrat state consolid .	23-0 24-1 2-2 16-3 17-4 8-5 3-6 0-7 6-8 14-9 13-10 13-11 14-12 16-13 16-14 19-15 9-16 11-17 17-18 21-19 19-20 17-21 19-22 22-23 25-24 26-25 24-26 27-27	-129.921568047
zu dies zweck werd die union wie auch die mitgliedstaat ersucht , im rahm ihr entsprech befugnis zu ein gross koharenz der innen- und aussenpolit der union beizutrag .	thi requir greater coher in the intern and extern polici of the union which are the respons of both the eu and the member state .	1-0 22-1 19-2 20-3 21-4 21-5 22-6 23-7 24-8 24-9 25-10 25-11 26-12 11-13 3-14 4-15 22-16 21-17 22-18 21-19 22-20 23-21 8-22 9-23 9-24 28-25	-94.9590895755
wir durf aus der europa union kein technisch mechanismus zur praktisch losung punktuell situation mach .	we cannot turn the european union into a kind of technic instrument for the practic resolut of specif situat .	0-0 1-1 12-2 3-3 4-4 5-5 10-6 9-7 12-8 3-9 7-10 12-11 9-12 9-13 10-14 11-15 9-16 12-17 13-18 15-19	-85.2446710022
der beschluss der mitgliedstaat der europa union , bis 2003 ihr militar fahig durch streitkraft im umfang von 50 000 bis 60 000 person im sogenannt headlin goal zu entwickeln , wurd in helsinki gefasst .	mr presid , the decis by the member state to develop their militari capabl by 2003 wa taken in helsinki . the headlin goal specifi a capac of 50 000 to 60 000 personnel .	26-0 26-1 30-2 0-3 1-4 2-5 2-6 3-7 3-8 28-9 29-10 10-11 11-12 12-13 13-14 9-15 31-16 34-17 32-18 33-19 35-20 24-21 26-22 26-23 26-24 28-25 12-26 17-27 18-28 19-29 20-30 21-31 22-32 26-33 35-34	-128.706015559
was wir gegenwart in der europa union zu schaff beabsicht - und zwar schritt fur schritt - , ist die fahig fur ein bestimmt intervention , die in gewiss bereich nicht von ein mandat des sicherheitsrat abhangt , weil der einsatz von streitkraft nicht vorgeseh ist , und fur die in and bereich wiederum sehr wohl ein beschluss des sicherheitsrat erford sein wird .	what we are current tri to creat within the european union , and will eventu creat , is a capac for specif intervent which , in those area not requir the use of militari forc , will not need a mandat from the un secur council . in other area a resolut will of cours be necessari .	0-0 1-1 1-2 2-3 36-4 7-5 8-6 3-7 4-8 5-9 6-10 10-11 11-12 62-13 36-14 8-15 17-16 18-17 22-18 20-19 21-20 23-21 24-22 25-23 26-24 27-25 28-26 29-27 30-28 60-29 39-30 40-31 41-32 42-33 42-34 46-35 44-36 43-37 60-38 32-39 33-40 34-41 34-42 35-43 35-44 35-45 63-46 50-47 51-48 52-49 56-50 57-51 62-52 58-53 12-54 61-55 60-56 63-57	-251.609305374
ich denk nicht , dass dies land ihr eig offent betrug oder mit der wahrheit sparsam umgeh .	they are not deceiv their peopl nor are they be econom with the truth .	2-0 3-1 2-2 15-3 7-4 15-5 15-6 17-7 16-8 17-9 15-10 12-11 13-12 14-13 17-14	-82.9460584621
betrifft : waffenliefer an mexiko die bevorsteh ausfuhr von p-90-revolv nach mexiko beweist erneut , dass belgi es mit den menschenrecht nicht so genau nimmt .	subject : arm suppli to mexico the forthcom export of p-90 revolv to mexico is further proof that belgium is not veri particular about human right .	0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 9-11 10-12 11-13 10-14 9-15 9-16 15-17 16-18 17-19 21-20 9-21 9-22 9-23 20-24 20-25 25-26	-88.0521843201
fall ja , muss der verhaltenskodex dann nicht verscharft werd ?	if so , is there not a case for tighten up the code of conduct ?	0-0 1-1 2-2 1-3 6-4 7-5 2-6 0-7 4-8 8-9 8-10 4-11 5-12 4-13 5-14 10-15	-64.8645643096
und das geschieht heut auch .	thi is what is happen today .	1-0 2-1 2-2 2-3 2-4 3-5 5-6	-19.0193954485
jed land ist voll und ganz berechtigt , position zur entwickl der polit lag in ein and land zu bezieh und daraus entsprech schlussfolger zu zieh . ich mocht daran erinn , wie die entsprech konsequenz ausseh .	everi countri ha everi right , with regard to the develop of the polit situat in anoth countri , to adopt an attitud and to draw the due consequ from thi .	0-0 1-1 2-2 0-3 6-4 7-5 9-6 9-7 9-8 9-9 10-10 11-11 11-12 12-13 13-14 14-15 16-16 17-17 7-18 7-19 8-20 15-21 36-22 20-23 24-24 25-25 33-26 21-27 21-28 21-29 21-30 26-31	-135.888088853
was die frag der nutzung der gemeinschaftsinstanz zur behandl dies angeleg betrifft , so muss ich sag , dass wir ein freie union sind , dass jed staat das recht hat , formell oder informell dies frag im spezif rahm der union aufzuwerf .	with regard to the issu of use the commun bodi to rais thi issu , we are a free union in that each member state ha the right to rais thi issu formal or inform in the specif context of the union .	11-0 11-1 12-2 1-3 2-4 3-5 4-6 5-7 6-8 6-9 7-10 42-11 35-12 36-13 17-14 19-15 19-16 20-17 21-18 22-19 24-20 25-21 26-22 27-23 27-24 30-25 28-26 29-27 31-28 42-29 35-30 36-31 32-32 33-33 34-34 37-35 37-36 38-37 39-38 40-39 40-40 41-41 43-42	-139.136585943
auf dem informell treff auf den azor fand ein aussprach statt , und verschied mitgliedstaat hab sich zur lag geaussert .	at the inform meet in the azor there wa a debat and sever member state express their opinion on the situat .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 7-8 8-9 9-10 12-11 13-12 14-13 14-14 19-15 19-16 19-17 17-18 17-19 18-20 20-21	-65.85472044
war es nicht klug gewes , fur ein derart einschneid entscheid , die , das durf wir nicht vergess , noch nachwirk wird , wenn die legislaturperiod dies parlament lang abgelauf ist , ein berat der staatschef einzuberuf ?	would it not have been wiser to summon a meet of the head of state for an import decis like thi which - rememb - will have consequ long after our time here in the european parliament ?	0-0 1-1 2-2 4-3 4-4 21-5 23-6 21-7 33-8 34-9 35-10 35-11 36-12 35-13 36-14 6-15 7-16 10-17 10-18 26-19 27-20 19-21 21-22 18-23 21-24 22-25 20-26 21-27 29-28 21-29 16-30 20-31 21-32 23-33 25-34 28-35 28-36 38-37	-179.993832452
nur die zeit ?	onli time ?	0-0 2-1 3-2	-3.51341112326
das erfordert ein wesent aufstock uns personal , ein massnahm , die wir als parlament unterstutz .	thi requir a substanti increas in our staff , a measur which thi hous support .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 14-13 15-14 16-15	-45.2710794409
die hilf fur den wiederaufbau muss seit der regier von guatemala mit fest und nachprufbar verpflicht zur gewahrleist der menschenrecht einhergeh .	aid for reconstruct must be accompani by firm and account commit to safeguard human right on the part of the guatemalan govern .	1-0 2-1 4-2 5-3 5-4 20-5 20-6 12-7 13-8 10-9 15-10 16-11 10-12 19-13 19-14 2-15 3-16 6-17 7-18 7-19 10-20 8-21 21-22	-91.3733586535
das spart nicht nur kost , sond erhoht auch die effizienz und beugt vor all auch betrug vor .	not onli doe it save cost , it increas effici and , more importantli , prevent fraud .	2-0 3-1 1-2 0-3 1-4 4-5 5-6 5-7 7-8 10-9 11-10 11-11 12-12 12-13 11-14 12-15 16-16 18-17	-65.2999032866
erst muss wir die kontroll- und uberwachungsinstrument aktivi , um ein verschwender , illegal und betruger verwend der mittel zu verhind .	first of all , we must activ the monitor and inspect measur , in order to avoid wastag , unlaw activ and fraud .	0-0 3-1 6-2 8-3 2-4 1-5 7-6 3-7 4-8 5-9 6-10 7-11 8-12 9-13 9-14 19-15 20-16 6-17 8-18 6-19 7-20 5-21 6-22 21-23	-85.8702935794
dies aufforder zur ubernahm der verantwort , die wir an die kommission richt woll , ist uns eracht unerlass fur den erfolg der hilfsmassnahm .	we are call upon the commiss to take up it respons , and we consid it vital that it doe so if we are to provid effect aid .	8-0 8-1 1-2 3-3 10-4 11-5 2-6 3-7 3-8 4-9 5-10 6-11 7-12 8-13 17-14 15-15 18-16 17-17 15-18 23-19 14-20 13-21 8-22 8-23 9-24 23-25 18-26 23-27 24-28	-143.827557417
ich will einmal das beispiel zuck auffuhr .	i would like to quot the exampl of sugar .	0-0 0-1 1-2 1-3 6-4 3-5 4-6 3-7 5-8 7-9	-37.1168477149
dabei werd die ureinwohn sowi massnahm zum schutz vor dies art von katastroph im mittelpunkt steh .	attent will be paid in particular to the indigen peopl and to reduc vulner to thi kind of catastroph in the futur .	3-0 1-1 1-2 3-3 0-4 3-5 6-6 2-7 3-8 3-9 4-10 6-11 3-12 3-13 6-14 9-15 10-16 11-17 12-18 13-19 2-20 3-21 16-22	-87.3775546136
darub hinaus hat die kommission noch weit massnahm im rahm des aktionsplan der gemeinschaft ergriff .	addit measur have been adopt by the commiss in the framework of the commun action plan .	6-0 7-1 5-2 5-3 7-4 8-5 3-6 4-7 8-8 8-9 9-10 10-11 12-12 13-13 11-14 11-15 15-16	-62.7206530989
die aussprach ist geschloss .	the debat is close .	0-0 1-1 2-2 3-3 4-4	-3.84954108167
bedauerlicherweis geschah dies allerding in ein form , nach der das parlament bei der entwickl der entsprech rechtsbereich nur ein anhorungsrecht hat . desweg auss ich hier nachdruck mein erwart , dass die kommission trotz des nur gegeb anhorungsrecht auch weiterhin das parlament gerad in dies bereich nachhalt einbind wird .	unfortun , when it happen , parliament wa onli grant the right to be consult on move in the relev legal area , which is whi i expressli state here that i trust that the commiss will continu to ensur that parliament remain fulli involv , despit the fact that it onli ha a right of consult .	0-0 3-1 20-2 21-3 1-4 3-5 11-6 1-7 18-8 17-9 15-10 20-11 7-12 8-13 20-14 12-15 17-16 12-17 13-18 16-19 17-20 46-21 30-22 30-23 23-24 23-25 25-26 17-27 17-28 26-29 23-30 25-31 17-32 31-33 32-34 33-35 40-36 40-37 30-38 31-39 31-40 42-41 40-42 17-43 48-44 49-45 34-46 35-47 34-48 31-49 31-50 18-51 21-52 19-53 20-54 19-55 20-56 22-57	-283.23532354
aber ein ist klar : es kann nicht dem zufall uberlass bleib , wo die mehrheit der asylbewerb oder fluchtling gerad anklopft .	but one thing is clear : the door on which the major of asylum seeker or refuge knock cannot be left to chanc .	0-0 1-1 3-2 2-3 3-4 4-5 8-6 21-7 22-8 12-9 14-10 15-11 16-12 17-13 17-14 18-15 19-16 21-17 6-18 6-19 10-20 8-21 9-22 22-23	-88.8174763055
es ist gleichzusetz mit luxemburg , mit belgi , mit den niederland .	it is on a par with luxembourg , belgium and the netherland .	0-0 1-1 3-2 1-3 2-4 3-5 4-6 5-7 7-8 8-9 10-10 11-11 12-12	-35.4040810859
das ist ein wesent punkt , denn asylbewerb hab ein recht auf ein rasch entscheid und ein rasch antwort , was ihr kunftig status anbelangt .	it is an import point , becaus asylum seeker are entitl to a fast decis and a fast answer on their futur statu .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 7-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 11-19 21-20 22-21 23-22 25-23	-73.2407629036
wenn sie etwa die total ausweit des fluchtlingsbegriff umsetz woll oder den total zugang fur asylbewerb zum arbeitsmarkt oder in richtung umkehr der beweislast arbeit , dann droht das den kons , der mit ihr zustimm im ausschuss herbeigefuhrt word ist , wied zu gefahrd .	if , for exampl , they want to implement the total extens of the definit of refuge or total access for asylum seeker to the job market or work to revers the burden of proof , then the consensu achiev with their vote in committe will be jeopardis .	0-0 3-1 2-2 2-3 3-4 1-5 9-6 9-7 8-8 3-9 4-10 5-11 6-12 6-13 7-14 6-15 7-16 10-17 12-18 13-19 14-20 15-21 15-22 16-23 16-24 17-25 17-26 18-27 24-28 25-29 21-30 22-31 23-32 22-33 23-34 25-35 26-36 29-37 30-38 30-39 33-40 34-41 35-42 36-43 37-44 26-45 43-46 44-47 45-48	-165.435459552
hier bedankt man sich ja ritualmass beim berichterstatt ; aber in dies fall will ich das in ein besond weis tun , namlich ind ich ihn sag , dass sie uns all , die wir auf der link seit dies haus sitz , in erstaun versetzt hab .	we alway extend our ritual thank to the rapporteur but , in thi case , i should like to do so in a special way , by say that you have astound all of us sit on the left side of thi hous .	2-0 5-1 5-2 30-3 5-4 1-5 2-6 6-7 7-8 9-9 9-10 10-11 11-12 12-13 21-14 24-15 5-16 5-17 6-18 20-19 20-20 16-21 17-22 18-23 19-24 21-25 23-26 26-27 28-28 29-29 4-30 5-31 31-32 31-33 30-34 41-35 35-36 36-37 37-38 38-39 39-40 39-41 40-42 47-43	-173.005640317
dies ist ein ganz weitreich schritt fur uns .	that is a huge step forward for us .	0-0 1-1 2-2 4-3 5-4 5-5 6-6 7-7 8-8	-22.3600798099
sie hatt allerding auss acht gelass , dass fur die beschlussfass nach wie vor die paralysier einstimm gilt .	they had , howev , overlook the fact that the crippl polici of decision-mak on the basi of unanim still appli .	0-0 1-1 2-2 2-3 2-4 15-5 14-6 15-7 7-8 14-9 15-10 15-11 9-12 10-13 11-14 14-15 15-16 14-17 16-18 15-19 17-20 18-21	-78.254645193
die initiativ der europa union zur familienzusammenfuhr , das antidiskriminierungspaket , der vorubergeh schutz von kriegsfluchtling und letztend die angestrebt harmonisier des asylrecht mach dies sehr deutlich .	the initi of the european union on reunit famili , the anti-discrimin packag , temporari protect for war refuge and , at long last , the attempt to harmonis asylum law make thi veri clear .	0-0 1-1 2-2 2-3 3-4 4-5 5-6 9-7 6-8 7-9 8-10 9-11 9-12 10-13 12-14 13-15 14-16 15-17 15-18 16-19 7-20 9-21 9-22 9-23 10-24 11-25 9-26 10-27 20-28 22-29 22-30 23-31 24-32 25-33 26-34 27-35	-103.751486463
in dies durcheinand , wo die illegalitat imm stark wird und wed regeln noch sich herrsch , gibt es vor all kein wahr rechtsschutz , sei es fur die unionsburg oder sei es fur die einwand .	in thi confus where illeg activ is ever increas there are no rule and no certainti . in particular , the human right of neither european citizen nor immigr are genuin be upheld .	0-0 1-1 2-2 4-3 6-4 6-5 9-6 7-7 8-8 17-9 17-10 11-11 12-12 10-13 11-14 6-15 36-16 0-17 19-18 24-19 28-20 15-21 23-22 20-23 11-24 29-25 29-26 11-27 6-28 7-29 6-30 9-31 6-32 36-33	-171.728997438
dah muss dringend ein einwanderungspolit und folglich auch ein aufnahmepolit und polit zur steuer der wanderungsstrom festgelegt werd , ein polit , welch die real situation und die konkret sozial beding berucksichtigt und statt dess moglich frei von ideolog erwag ist .	it is therefor urgent for us to defin an immigr polici , and therefor also a recept polici and a migrat flow control polici , a polici which take into practic account the genuin exist of social phenomena and which refus to be condit by ideolog .	40-0 40-1 0-2 2-3 12-4 15-5 12-6 16-7 3-8 4-9 4-10 5-11 5-12 6-13 7-14 8-15 9-16 9-17 10-18 8-19 15-20 15-21 15-22 20-23 18-24 19-25 20-26 22-27 31-28 31-29 28-30 31-31 23-32 24-33 15-34 14-35 29-36 15-37 26-38 22-39 15-40 18-41 17-42 30-43 37-44 38-45 41-46	-203.065982216
woll die institution der eu und die mitgliedstaat dies grundleg zustand jetzt verand ?	do the eu 's institut and member state now want to chang these basic condit ?	0-0 1-1 4-2 3-3 2-4 5-5 7-6 10-7 11-8 0-9 0-10 12-11 8-12 9-13 12-14 13-15	-58.6569325762
es ist nicht die red davon , fur die rechtssich uns mitmensch zu sorg .	it is not a question of our be oblig to guarante legal right to our fellow human be .	0-0 1-1 2-2 3-3 4-4 5-5 10-6 12-7 11-8 12-9 11-10 9-11 11-12 12-13 10-14 11-15 11-16 12-17 14-18	-68.9938579299
fidschi war bis vor wenig tag ein sich land , und uber nacht ist es das nicht mehr .	fiji wa a secur countri until a few day ago , and overnight it ceas to be one .	0-0 1-1 6-2 7-3 8-4 2-5 6-6 4-7 5-8 3-9 9-10 10-11 0-12 1-13 0-14 2-15 1-16 6-17 18-18	-76.3605281189
das ist die verantwort , die wir einfach ubernehm woll , wenn wir uns endlich dies debatt stell , die - da geb ich ihn recht - noch weit diskussion verlangt und sehr , sehr vertieft werd muss .	that is the respons which we simpli wish to accept in engag in thi debat , a debat which - and here you are right - need further discuss and need to be examin in much , much greater detail .	0-0 1-1 2-2 3-3 4-4 6-5 7-6 9-7 9-8 8-9 10-10 8-11 10-12 15-13 16-14 18-15 18-16 16-17 18-18 20-19 31-20 21-21 24-22 27-23 25-24 26-25 37-26 28-27 29-28 31-29 37-30 38-31 36-32 35-33 33-34 32-35 33-36 34-37 35-38 35-39 38-40	-178.637450219
das ist ein ausserst beunruh erschein in mein land .	it is a deepli disturb phenomenon in my own countri .	0-0 1-1 2-2 4-3 4-4 5-5 6-6 7-7 8-8 8-9 9-10	-30.8979359733
wir brauch gut und human gesetz , die eindeut umgesetzt werd und damit uns all zugut komm .	we need clear implement of good , human law and we will all benefit from them .	0-0 1-1 8-2 9-3 7-4 2-5 3-6 4-7 5-8 3-9 0-10 10-11 14-12 15-13 15-14 4-15 17-16	-62.4901763643
wir kenn unzahl beispiel dafur , wie opf in den letzt jahr behandelt werd : kind werd entfuhrt , elternteil , familienmitglied sind opf , opf terrorist anschlag , opf organisiert kriminalitat , von einbruch , uberfall usw . , ganz zu schweig von belast und einschuchter .	there are countless exampl known to us of how victim have been treat in recent year : child abduct , in which case the parent and rel are also the victim , victim of terrorist attack , victim of organis crime , break-in , robberi and the like , stalk , not to mention intimid .	34-0 1-1 2-2 3-3 34-4 35-5 34-6 33-7 6-8 7-9 8-10 11-11 12-12 8-13 10-14 11-15 14-16 15-17 17-18 18-19 8-20 9-21 34-22 9-23 19-24 20-25 21-26 22-27 23-28 22-29 23-30 24-31 25-32 33-33 26-34 27-35 28-36 29-37 33-38 30-39 31-40 32-41 34-42 35-43 34-44 32-45 33-46 34-47 35-48 34-49 35-50 40-51 41-52 42-53 46-54 47-55	-225.985557074
wenn massnahm fur das jahr 2001 vorgeseh werd , besteht fur die opf endlich die aussicht auf ein fair behandl .	by provid measur in 2001 , victim will at long last be abl to look forward to fair treatment .	3-0 6-1 1-2 2-3 5-4 8-5 12-6 7-7 13-8 13-9 13-10 7-11 15-12 16-13 15-14 15-15 16-16 18-17 19-18 20-19	-85.6887961035
insbesond sind auch besond massnahm fur minderjahr erford .	in particular , addit measur are requir for minor .	0-0 0-1 1-2 6-3 4-4 6-5 7-6 5-7 6-8 8-9	-33.5433917185
die von a. werg im rahm des programm grotius durchgefuhrt studi bietet hierfur die notwend basisinformation .	the studi carri out under the grotiu programm by an wergen provid the requisit basic inform .	13-0 10-1 9-2 9-3 5-4 6-5 3-6 7-7 1-8 3-9 3-10 5-11 6-12 3-13 3-14 3-15 16-16	-68.9211679298
wir sind in ein neu prozess eingetret .	we have embark upon a new process .	0-0 1-1 6-2 6-3 3-4 4-5 5-6 7-7	-25.098295837
es gibt beispielsweis nach wie vor kein definition der begriff opf von straftat und organisiert verbrech .	for exampl , there are still no definit of the concept of crime victim and organis crime .	2-0 2-1 11-2 1-3 1-4 5-5 6-6 7-7 8-8 8-9 9-10 11-11 12-12 10-13 13-14 14-15 15-16 16-17	-51.3441352479
nun gilt es , dies befugnis zu nutz , um opf von straftat ihr lag zu erleicht .	it is therefor crucial that we use these power to improv the posit of victim of crime .	2-0 2-1 4-2 5-3 8-4 8-5 7-6 4-7 5-8 6-9 16-10 17-11 14-12 11-13 10-14 11-15 12-16 17-17	-82.9420605724
das all trifft besond auf den terrorismus zu .	thi is especi true in the case of terror .	0-0 2-1 3-2 2-3 4-4 5-5 2-6 5-7 6-8 8-9	-34.3536196912
sie ist bedeutsam fur die klein und mittl unternehm , sie ist bedeutsam fur den offent dien , sie ist ein wahrschein sehr viel wichtig instrument zur forder der beschaft als viel , was wir sonst hier beschliess .	it is import to sme , it is import to the public sector , it is probabl a far more import instrument for promot employ than mani of the resolut pass here in thi hous .	0-0 1-1 2-2 3-3 7-4 9-5 10-6 11-7 12-8 13-9 14-10 15-11 12-12 17-13 18-14 19-15 21-16 20-17 23-18 23-19 24-20 25-21 26-22 27-23 29-24 30-25 31-26 13-27 14-28 12-29 37-30 36-31 36-32 36-33 36-34 38-35	-130.438138145
anson muss er ein straf in form von zins usw . bezahl .	otherwis , he must pay a penalti in the form of interest etc.	0-0 7-1 2-2 1-3 11-4 3-5 4-6 5-7 5-8 6-9 7-10 8-11 9-12	-42.2202666565
ohn ubertreib lasst sich sag , dass das parlament jen gremium , jen institution der europa union war , die ganz klar begriff hat , wo die interess der europa gesellschaft und des europa unternehmertum lieg . wir hab deshalb all argument ins feld gefuhrt und uns nachdruck eingesetzt , um auch den rat davon zu uberzeug , dass samtlich vom europa parlament unterbreitet abanderungsantrag in die richtig richtung weis .	and it would be no exagger to say that parliament wa the institut of the european union which understood exactli where the interest of european societi and european busi lie , which is whi we use all our argument and exert all our pressur to persuad the council that all the european parliament 's propos amend went in the right direct .	31-0 17-1 17-2 17-3 0-4 1-5 3-6 4-7 6-8 8-9 17-10 19-11 13-12 14-13 14-14 15-15 16-16 18-17 22-18 1-19 25-20 26-21 27-22 28-23 29-24 30-25 31-26 33-27 34-28 35-29 49-30 49-31 39-32 39-33 37-34 48-35 40-36 46-37 41-38 45-39 1-40 40-41 46-42 1-43 55-44 56-45 52-46 53-47 58-48 59-49 60-50 61-51 62-52 62-53 63-54 64-55 1-56 65-57 66-58 67-59 68-60 70-61	-260.145175694
aber fur viel klein und mittelstand unternehm , familienunternehm und unternehm von jung unternehm ist es zu spat .	but it is too late for mani small and medium-s enterpris , famili busi and young entrepreneur .	0-0 15-1 15-2 16-3 17-4 1-5 2-6 3-7 4-8 5-9 6-10 7-11 8-12 10-13 9-14 12-15 13-16 18-17	-54.5375446603
ich weiss , dass sich die parlamentsprasidentin stet energ fur die bekampf von rassismus und fremdenfeind eingesetzt hat .	i know that the presid ha alway been veri commit to the issu of combat racism and xenophobia .	0-0 1-1 3-2 5-3 6-4 7-5 7-6 7-7 6-8 6-9 4-10 5-11 6-12 10-13 11-14 13-15 14-16 15-17 18-18	-58.777994694
wir trag auch ein verantwort fur die funktionsfah der europa institution .	we are also respons for the function of the european institut .	0-0 1-1 2-2 4-3 5-4 6-5 7-6 8-7 8-8 9-9 10-10 11-11	-19.9423029708
die deutsch polizei bezeichnet ihn als erfund dokument , woraufhin sie mich acht stund lang festhielt , bis sie nach zahlreich gesprach die notwend klarung herbeigefuhrt hatt .	at thi point , the german polic thought that the document wa a fake and detain me for eight hour until , after intens discuss , the necessari clarif had been obtain .	9-0 15-1 9-2 8-3 0-4 1-5 2-6 9-7 8-8 0-9 7-10 15-11 14-12 9-13 8-14 9-15 11-16 14-17 12-18 13-19 17-20 16-21 19-22 9-23 21-24 22-25 22-26 23-27 24-28 26-29 26-30 9-31 27-32	-149.420840576
es war schliesslich nur dem eingreif der polnisch behord zu verdank , die ubrig die gultig dies dokument anerkannt , - was uns im hinblick auf die erweiter mit zuversicht erfullt - , dass ich mein weg fortsetz durft .	it wa onli after the intervent of the polish author , who , moreov , recognis the valid of the document - and thi bode well for enlarg - that i wa allow to continu my journey .	0-0 1-1 3-2 2-3 4-4 5-5 6-6 6-7 7-8 8-9 11-10 10-11 11-12 13-13 19-14 18-15 14-16 15-17 16-18 16-19 17-20 20-21 19-22 16-23 10-24 10-25 26-26 27-27 31-28 33-29 34-30 38-31 38-32 39-33 37-34 35-35 10-36 39-37	-154.340423803
die mundlich anfrag ( b 5-0492/2000 ) an den rat von herrn napolitano im nam des ausschuss fur konstitutionell frag zum europa rat in feira	oral question ( b 5-0492/2000 ) to the council , by mr napolitano , on behalf of the committe on constitut affair , on the feira european council	1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 10-10 11-11 12-12 13-13 14-14 14-15 15-16 15-17 16-18 17-19 18-20 18-21 13-22 14-23 15-24 24-25 21-26 22-27	-64.6910976751
die mundlich anfrag ( b 5-0493/2000 ) an die kommission von herrn napolitano im nam des ausschuss fur konstitutionell frag zum europa rat in feira .	oral question ( b 5-0493/2000 ) to the commiss , by mr napolitano , on behalf of the committe on constitut affair , on the feira european council .	1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 10-10 11-11 12-12 13-13 14-14 14-15 15-16 15-17 16-18 17-19 18-20 18-21 13-22 14-23 15-24 24-25 21-26 22-27 25-28	-68.0877244227
ein fur den nachmittag angesetzt sitzung wird sich der erweiter der union , der gemeinsam aussen- und sicherheitspolit und den aussenbezieh widm .	the afternoon session will be devot to the issu of enlarg of the union , the common european secur and defenc polici and extern relat .	2-0 3-1 5-2 6-3 6-4 21-5 1-6 2-7 4-8 8-9 9-10 10-11 10-12 11-13 12-14 13-15 14-16 11-17 17-18 18-19 15-20 17-21 18-22 20-23 20-24 22-25	-85.1507500242
der zweit teil enthalt ein zusammenstell von vorschlag , list und grafik der wahlmog , die sich der regierungskonferenz im nach halbjahr biet werd .	the second part contain a seri of propos , list and tabl illustr the option which the igc will have in the next six month .	0-0 1-1 2-2 3-3 4-4 11-5 6-6 7-7 8-8 9-9 10-10 11-11 11-12 12-13 11-14 14-15 15-16 18-17 16-18 16-19 19-20 19-21 20-22 21-23 21-24 24-25	-80.6520819062
weiterhin wird ein bericht uber die fortschritt im steuerwes vorgelegt .	a report will be present on the progress made on the tax issu .	2-0 3-1 1-2 1-3 9-4 4-5 5-6 6-7 6-8 4-9 5-10 8-11 8-12 10-13	-40.2741206642
dies neu modell der aussenvertret der eu birgt vielfalt moglich , und ich kann sich mit recht behaupt , dass dies erst monat dafur den beweis erbracht hab .	the potenti of thi new model of extern represent of the union is consider and it is fair to say that the next few month will demonstr thi .	3-0 4-1 5-2 0-3 1-4 2-5 3-6 4-7 4-8 5-9 5-10 6-11 14-12 4-13 11-14 14-15 14-16 4-17 18-18 17-19 19-20 3-21 4-22 22-23 22-24 24-25 25-26 20-27 28-28	-127.813591934
dies sind zusammengefasst die punkt , die auf uns aussenpolit tagesordn ganz oben steh .	we therefor have a seri of import item on our extern polici agenda .	1-0 2-1 1-2 5-3 2-4 3-5 4-6 4-7 7-8 8-9 9-10 9-11 10-12 14-13	-58.7592541639
